what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1396600619155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600623721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396600637557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396600639745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396600668728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396600670240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1396600673994
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396600675069
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396600677371
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396600685663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600701503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1396600701516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600704278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600716622
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1396600716632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600728450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600728995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600730631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396600736471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396600738765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396600749261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396600751352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396600754353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396600756290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600759618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600766463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396600845539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396600845900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600879278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600929507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600947656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600947668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600950615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600951612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600951931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600953735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600953831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600954872
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1396600954880
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396600960725
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396600960763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396600963958
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396600963958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396600980901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600989858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396600997339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396600999703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1396601000989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396601005911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601007829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601009754
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1396601009763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396601016824
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396601021893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1396601032219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396601039283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601041545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601043980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601044114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601045354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601045378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396601046660
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1396601046671
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396601051630
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396601051673
